   81 J, Jb, Jo:       .48215973E+05       .27706278E+04       .45445345E+05
   82 J, Jb, Jo:       .48203479E+05       .28579481E+04       .45345531E+05
   83 J, Jb, Jo:       .48155948E+05       .28533001E+04       .45302648E+05
   84 J, Jb, Jo:       .48146698E+05       .28424864E+04       .45304211E+05
   85 J, Jb, Jo:       .48116480E+05       .28517300E+04       .45264750E+05
   86 J, Jb, Jo:       .48114030E+05       .28729590E+04       .45241071E+05
   86 J, Jb, Jo:       .48101979E+05       .28627772E+04       .45239202E+05
   87 J, Jb, Jo:       .48089610E+05       .28858416E+04       .45203768E+05
   88 J, Jb, Jo:       .48071640E+05       .29433373E+04       .45128303E+05
   89 J, Jb, Jo:       .48061065E+05       .30098694E+04       .45051196E+05
   90 J, Jb, Jo:       .48041326E+05       .30228477E+04       .45018478E+05
   91 J, Jb, Jo:       .48019483E+05       .30522339E+04       .44967249E+05
   92 J, Jb, Jo:       .48006009E+05       .30788948E+04       .44927115E+05
   93 J, Jb, Jo:       .47993122E+05       .31511282E+04       .44841994E+05
   94 J, Jb, Jo:       .47969395E+05       .31710594E+04       .44798336E+05
   95 J, Jb, Jo:       .47964241E+05       .31645519E+04       .44799689E+05
   96 J, Jb, Jo:       .47952428E+05       .31637138E+04       .44788714E+05
   97 J, Jb, Jo:       .47940389E+05       .32146099E+04       .44725779E+05
   98 J, Jb, Jo:       .47918255E+05       .32278793E+04       .44690375E+05
   99 J, Jb, Jo:       .47902926E+05       .32647623E+04       .44638164E+05
  100 J, Jb, Jo:       .47890977E+05       .33095232E+04       .44581453E+05
  101 J, Jb, Jo:       .47869355E+05       .33808874E+04       .44488468E+05
  102 J, Jb, Jo:       .47878217E+05       .34932164E+04       .44385001E+05
  102 J, Jb, Jo:       .47858663E+05       .34281187E+04       .44430544E+05
  103 J, Jb, Jo:       .47844477E+05       .34636198E+04       .44380857E+05
  104 J, Jb, Jo:       .47831012E+05       .34903414E+04       .44340671E+05
  105 J, Jb, Jo:       .47817334E+05       .35207497E+04       .44296584E+05
  106 J, Jb, Jo:       .47805242E+05       .35270123E+04       .44278230E+05
  107 J, Jb, Jo:       .47798255E+05       .35214940E+04       .44276761E+05
  108 J, Jb, Jo:       .47790562E+05       .35106164E+04       .44279945E+05
  109 J, Jb, Jo:       .47784336E+05       .35061742E+04       .44278162E+05
  110 J, Jb, Jo:       .47776117E+05       .35047534E+04       .44271364E+05
  111 J, Jb, Jo:       .47767098E+05       .35072105E+04       .44259888E+05
  112 J, Jb, Jo:       .47761026E+05       .35107789E+04       .44250248E+05
  113 J, Jb, Jo:       .47753529E+05       .35143021E+04       .44239227E+05
  114 J, Jb, Jo:       .47745334E+05       .35186304E+04       .44226704E+05
  115 J, Jb, Jo:       .47737228E+05       .35256680E+04       .44211560E+05
  116 J, Jb, Jo:       .47729209E+05       .35311190E+04       .44198090E+05
  117 J, Jb, Jo:       .47724509E+05       .35325482E+04       .44191961E+05
