 2 1
    1.00   1.00    
     0.100000      230.264      4.08166     0.594115
     0.290000      258.509      5.04598      1.34646
     0.690000      273.136      5.44347      2.19962
      1.42000      273.944      5.49187      3.77096
      2.61100      262.152      5.24848      6.30953
      4.40700      252.245      5.00939      8.57806
      6.95000      244.054      4.93607      8.81562
      10.3700      237.296      4.81252      7.76107
      14.8100      231.953      4.62198      6.66060
      20.4000      227.716      4.41650      5.84310
      27.2600      225.229      4.21945      4.88045
      35.5100      223.209      3.91365      3.59919
      45.2900      221.315      3.55596      2.77773
      56.7300      219.586      3.34458      2.12725
      69.9700      217.850      3.19674      1.47656
      85.1800      216.410      3.15087     0.881418
      102.050      215.618      3.26758     0.645437
      122.040      215.683      3.25582     0.534591
      143.840      215.839      4.27303     0.470795
      167.950      215.204      6.13579     0.355514
      194.360      218.768      15.1049     0.250900
      222.940      225.186      50.2647     0.204945
      253.710      230.684      130.521     0.163213
      286.600      236.187      271.314     0.126474
      321.500      241.346      403.339     0.112070
      358.280      246.411      569.570    0.0963223
      396.810      251.280      805.956    0.0844059
      436.950      255.938      1104.56    0.0750155
      478.540      260.364      1439.39    0.0656622
      521.460      264.389      1821.96    0.0588966
      565.540      268.172      2414.99    0.0539150
      610.600      271.845      3383.88    0.0496738
      656.430      275.334      4512.59    0.0459910
      702.730      278.681      5757.25    0.0427083
      749.120      281.939      7414.06    0.0397298
      795.090      284.817      9380.46    0.0372590
      839.950      287.073      11264.0    0.0354128
      882.800      288.909      12991.1    0.0339713
      922.460      290.545      14651.6    0.0327409
      957.440      291.987      16206.5    0.0316995
      985.880      293.136      17508.8    0.0308951
      1005.43      293.907      18411.1    0.0303680
      1013.25      294.210      18771.5    0.0301635
