  241.150 248.580 259.600 265.710 252.950 249.410 239.820 227.650 226.960 219.980
  215.950 211.340 208.200 197.420 190.390 189.100 194.380 200.070 207.020 215.310
  223.410 229.890 236.230 242.630 249.150 254.990 259.690 263.870 268.200 272.620
  276.060 278.960 282.040 285.010 287.640 289.990 291.770 294.220 296.120 298.040
  300.340 301.910 302.500
   -6.215  -6.215  -6.215  -6.215  -6.215  -6.215  -6.215  -6.215  -6.215  -6.215
   -6.215  -6.215  -6.215  -6.215  -6.215  -6.215  -5.809  -4.828  -3.912  -3.124
   -2.442  -1.995  -1.609  -0.983  -0.278   0.186   0.510   0.771   0.976   1.207
    1.398   1.731   2.025   2.193   2.280   2.292   2.429   2.602   2.722   2.883
    2.936   2.979   3.022
    0.506   1.301   2.381   3.885   6.035   7.833   9.080   9.488   8.550   6.970
    5.075   3.526   2.292   1.267   0.633   0.334   0.196   0.124   0.100   0.082
    0.074   0.069   0.064   0.059   0.056   0.055   0.054   0.053   0.051   0.049
    0.045   0.040   0.036   0.032   0.031   0.031   0.031   0.031   0.031   0.031
    0.031   0.031   0.031
    -.1000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    0.0000  0.0000  0.0000
    302.50    3.02  1000.00    5.00    2.00  
    302.50  3.0 5.0 15.0 0.1 0.3
    500.00    0.00
