     0.100000      231.303      5.18206     0.538239
     0.290000      256.713      6.03850      1.27285
     0.690000      268.587      6.01011      2.42432
      1.42000      266.764      5.77337      4.07836
      2.61100      256.578      5.34977      6.74307
      4.40700      247.954      4.87030      8.91113
      6.95000      240.827      4.47193      9.85467
      10.3700      234.713      4.14079      9.64788
      14.8100      229.515      3.80438      8.62128
      20.4000      224.825      3.41729      6.97236
      27.2600      220.560      3.25090      4.95735
      35.5100      216.803      2.88176      3.30386
      45.2900      212.202      2.70285      1.97569
      56.7300      206.600      2.59937      1.38997
      69.9700      201.611      2.62916     0.803195
      85.1800      196.657      2.83473     0.366166
      102.050      195.085      2.90853     0.181468
      122.040      200.465      3.38736     0.130706
      143.840      207.076      5.03067     0.115221
      167.950      213.471      7.38736    0.0987797
      194.360      219.781      14.8949    0.0869151
      222.940      225.545      39.1606    0.0742219
      253.710      231.339      86.8459    0.0640552
      286.600      237.099      193.695    0.0558384
      321.500      242.510      365.762    0.0509165
      358.280      247.680      607.433    0.0465062
      396.810      252.719      930.223    0.0436032
      436.950      257.574      1344.61    0.0420416
      478.540      262.174      1885.16    0.0403920
      521.460      266.642      2655.29    0.0388955
      565.540      270.907      3439.04    0.0374478
      610.600      274.970      3996.74    0.0360541
      656.430      279.155      5218.50    0.0353838
      702.730      282.922      7743.01    0.0351504
      749.120      285.343      11212.9    0.0345255
      795.090      287.229      14700.6    0.0336152
      839.950      289.667      17095.7    0.0327688
      882.800      292.378      18672.1    0.0319506
      922.460      294.795      20334.9    0.0310728
      957.440      296.752      22263.5    0.0301930
      985.880      298.273      24074.5    0.0294336
      1005.43      299.303      25403.7    0.0288987
      1013.25      299.713      25947.5    0.0286831
      299.713
      25947.5
      299.713
      1013.25
      500.000
      1.00000
      0.00000
      0.00000
