 This dataset is made of  3  ECMWF model profiles

 Call to RTTOV_CLD
 -----------------

 Channel  cloudy Tb    clear Tb
   1    0.1518160206732871E+03 0.1501531349359022E+03
   2    0.1520684993115607E+03 0.1484905487845533E+03
   3    0.2160036333718783E+03 0.2118686138025651E+03
   4    0.2461932127176819E+03 0.2452248346085331E+03
   5    0.2446682914911851E+03 0.2445155376007039E+03
   6    0.2327637786795758E+03 0.2327674430487202E+03
   7    0.2245404791798714E+03 0.2245422700929222E+03
   8    0.2195842924252162E+03 0.2195844292587655E+03
   9    0.2173237242883029E+03 0.2173237240733146E+03
  10    0.2170163255068503E+03 0.2170163246341767E+03
  11    0.2181418761146275E+03 0.2181418741929392E+03
  12    0.2234194960546865E+03 0.2234194942957709E+03
  13    0.2348123675434341E+03 0.2348123642245376E+03
  14    0.2486058953417686E+03 0.2486058924351989E+03
  15    0.2133969611588886E+03 0.2018715237450673E+03
  16    0.2087642621738248E+03 0.2054399230875559E+03
  17    0.1795624484858305E+03 0.1710191705094354E+03
  18    0.2413950652168790E+03 0.2339506061181095E+03
  19    0.2646810179459876E+03 0.2636579166010578E+03
  20    0.2589284765252016E+03 0.2591279797003154E+03
  21    0.2417810837746711E+03 0.2419409552576692E+03
  22    0.2276916706403366E+03 0.2277390567461678E+03
  23    0.2154114994225905E+03 0.2154187068506962E+03
  24    0.2035097775022512E+03 0.2035097847997668E+03
  25    0.2095874057186211E+03 0.2095874077530017E+03
  26    0.2201265227575711E+03 0.2201265229156404E+03
  27    0.2322913018572351E+03 0.2322913007859392E+03
  28    0.2442154500614761E+03 0.2442154458985955E+03
  29    0.2513052679586758E+03 0.2513052620872061E+03
  30    0.2632144790333790E+03 0.2544481080407546E+03
  31    0.1592131664097223E+03 0.1587534890887868E+03
  32    0.1517649297651966E+03 0.1500600590126379E+03
  33    0.2204945640055997E+03 0.2178611394441454E+03
  34    0.2582664652626510E+03 0.2576925739936352E+03
  35    0.2560067729579574E+03 0.2559287165329467E+03
  36    0.2401902110756428E+03 0.2401931704398518E+03
  37    0.2275616186394560E+03 0.2275625191862181E+03
  38    0.2175187048496099E+03 0.2175187584060059E+03
  39    0.2087635466116259E+03 0.2087635464034136E+03
  40    0.2139627304510874E+03 0.2139627297266955E+03
  41    0.2232219139325609E+03 0.2232219123731145E+03
  42    0.2328245685683097E+03 0.2328245671643456E+03
  43    0.2426554676696090E+03 0.2426554649603688E+03
  44    0.2502442866334208E+03 0.2502442837738011E+03
  45    0.2204900496921427E+03 0.2122076000058079E+03

 Test TL
 -------


 (Profile x channel) no.  1
          Lambda       Clear Rad      Cloudy Rad        Clear Tb       Cloudy Tb
    0.0000000001    1.0106560612    1.0109527808    1.0106007468    1.0149748273
    0.0000000010    0.9999727008    0.9999605092    1.0002238562    0.9996818302
    0.0000000100    1.0001408721    1.0001429294    1.0002280938    1.0000976714
    0.0000001000    1.0000159551    1.0000164444    1.0000209634    1.0000143915
    0.0000010000    1.0000008755    1.0000009020    1.0000015613    1.0000005078
    0.0000100000    1.0000001981    1.0000002289    1.0000002345    1.0000003088
    0.0001000000    1.0000003824    1.0000006369    1.0000003831    1.0000006354
    0.0010000000    1.0000037636    1.0000063097    1.0000037636    1.0000063095
    0.0099999998    1.0000376230    1.0000630870    1.0000376220    1.0000630860
    0.1000000015    1.0003759898    1.0006309301    1.0003759790    1.0006309201
    1.0000000000    1.0037352497    1.0062970917    1.0037351431    1.0062969928

 (Profile x channel) no.  2
          Lambda       Clear Rad      Cloudy Rad        Clear Tb       Cloudy Tb
    0.0000000001    1.0104375517    1.0108043894    1.0156385515    1.0101196080
    0.0000000010    0.9999635456    0.9999814634    1.0004280903    1.0005588468
    0.0000000100    1.0001383004    1.0001426625    1.0001709771    1.0001530778
    0.0000001000    1.0000157501    1.0000163107    1.0000188543    1.0000165159
    0.0000010000    1.0000008705    1.0000008899    1.0000010785    1.0000015834
    0.0000100000    1.0000001967    1.0000002261    1.0000002826    1.0000003013
    0.0001000000    1.0000003874    1.0000006480    1.0000003901    1.0000006496
    0.0010000000    1.0000038146    1.0000064205    1.0000038147    1.0000064212
    0.0099999998    1.0000381337    1.0000641953    1.0000381327    1.0000641943
    0.1000000015    1.0003810977    1.0006420275    1.0003810865    1.0006420172
    1.0000000000    1.0037863698    1.0064090046    1.0037862594    1.0064089024

 (Profile x channel) no.  3
          Lambda       Clear Rad      Cloudy Rad        Clear Tb       Cloudy Tb
    0.0000000001    0.9944442341    0.9940503746    0.9942179810    0.9931676651
    0.0000000010    0.9997909273    0.9997836022    0.9997191202    0.9994807995
    0.0000000100    0.9999976862    0.9999964503    0.9999475750    0.9999811405
    0.0000001000    0.9999994809    0.9999998313    0.9999919778    1.0000067797
    0.0000010000    0.9999995610    0.9999995771    0.9999986600    1.0000004488
    0.0000100000    0.9999998548    0.9999998709    0.9999998546    0.9999998786
    0.0001000000    1.0000002809    1.0000005563    1.0000002763    1.0000005530
    0.0010000000    1.0000029099    1.0000056657    1.0000029095    1.0000056655
    0.0099999998    1.0000291156    1.0000566957    1.0000291139    1.0000566943
    0.1000000015    1.0002913955    1.0005693283    1.0002913786    1.0005693139
    1.0000000000    1.0029386174    1.0058918428    1.0029384511    1.0058916989

 (Profile x channel) no.  4
          Lambda       Clear Rad      Cloudy Rad        Clear Tb       Cloudy Tb
    0.0000000001    0.9945152855    0.9942482530    0.9984948703    0.9924110276
    0.0000000010    0.9997954209    0.9997860643    0.9996104373    0.9998590305
    0.0000000100    0.9999978999    0.9999973517    0.9999430808    0.9999836831
